;name;description;price;scrap_date;supplier;type_of_product;sub_type_product;product_link
30;SOFA CAMA BRAZO RECTO CUERO BONDED ENVEJECIDO;"Respaldo regulable en 3 posiciones.
Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plastica.";$365.000 $295.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-cama-brazo-recto-cuero-bonded-envejecido/
31;SOFA ESPACIO 3 CUERPOS + 2 POUF FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Trabajado en Felpa de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata metalica extra firme con goma antideslizante.";$375.000 $325.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-espacio-3-cuerpos-2-pouf-felpa/
32;SOFA ESTYLO 3 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Hilos de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera torneada.";$425.000 $365.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-estylo-3-cuerpos-felpa/
33;SOFA MUSTANG 2 CUERPOS LINO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Trabajado en tela grueso de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-mustang-2-cuerpos-chenille/
34;SILLON BOSTON 1 CUERPO CUERO BONDED ENVEJECIDO;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Telas de alta resistencia lavables.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plástica extra firme facil de remover para entrarlo en puertas mas pequeñas, sin clavos para proteger tu piso.";$195.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sillon-boston-1-cuerpo-cuero-bonded-envejecido/
35;CHESTERFIELD MODULAR REVERSIBLE FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata de madera tallada";$485.000 $425.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/modulares/chesterfield-modular-reversible-felpa/
36;SOFA CAMA BRAZO RECTO FELPA;"Respaldo regulable en 3 posiciones.
Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Tela de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata plastica.";$325.000 $265.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-cama-brazo-recto-felpa/
37;SOFA ESPACIO 2 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Trabajado en Felpa de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata metalica extra firme con goma antideslizante.";$285.000 $255.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-espacio-2-cuerpos-felpa/
38;SOFA ESPACIO 3 CUERPOS FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo.
Relleno en espuma de alta densidad y fibra soft.
Trabajado en Felpa de alta resistencia lavable.
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Cojines de asiento con cierre para un lavado optimo.
Pata metalica extra firme con goma antideslizante.";$295.000 $265.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-espacio-3-cuerpos-felpa/
39;SOFA BAUL CAPITONE BRAZO CUADRADO FELPA;"Esqueleto trabajado en pino cepillado, seco encolado y clavado, con refuerzos para una mayor duración en el tiempo
Relleno en espuma de alta densidad y fibra soft
Telas de alta resistencia lavables
Costuras reforzadas en doble punto para zonas de mayor desgaste.
Pata de madera tinturada";$395.000 $295.000;2023-03-04 22:57:57;https://muebleschile.cl/;;;https://muebleschile.cl/shop/sillones/sofas/sofa-baul-capitone-brazo-cuadrado-felpa/
